ROW_ID,LOCATION,GENDER,CAUSE_OF_DEATH,YEAR,NR_DEATH,AGE_STD_MORTALITY_RATE
97,"Canada, place of residence",Males,Anaemias  [D50-D64],2019,240,1.4
98,"Canada, place of residence",Males,Anaemias  [D50-D64],2020,258,1.4
99,"Canada, place of residence",Males,Anaemias  [D50-D64],2021,255,1.3
100,"Canada, place of residence",Males,Anaemias  [D50-D64],2022,254,1.3
101,"Canada, place of residence",Males,Diabetes mellitus  [E10-E14],2018,"3,785",20.6
102,"Canada, place of residence",Males,Diabetes mellitus  [E10-E14],2019,"3,934",20.7
103,"Canada, place of residence",Males,Diabetes mellitus  [E10-E14],2020,"4,310",22
104,"Canada, place of residence",Males,Diabetes mellitus  [E10-E14],2021,"4,090",20.4
105,"Canada, place of residence",Males,Diabetes mellitus  [E10-E14],2022,"4,261",20.7
106,"Canada, place of residence",Males,Nutritional deficiencies  [E40-E64],2018,92,0.5
107,"Canada, place of residence",Males,Nutritional deficiencies  [E40-E64],2019,79,0.4
108,"Canada, place of residence",Males,Nutritional deficiencies  [E40-E64],2020,98,0.5
109,"Canada, place of residence",Males,Nutritional deficiencies  [E40-E64],2021,109,0.6
110,"Canada, place of residence",Males,Nutritional deficiencies  [E40-E64],2022,144,0.7
111,"Canada, place of residence",Males,"Dementia  [F010-F019, F03]",2018,"8,338",51.1
112,"Canada, place of residence",Males,"Dementia  [F010-F019, F03]",2019,"8,728",51.2
113,"Canada, place of residence",Males,"Dementia  [F010-F019, F03]",2020,"8,612",48.5
114,"Canada, place of residence",Males,"Dementia  [F010-F019, F03]",2021,"8,696",47.3
115,"Canada, place of residence",Males,"Dementia  [F010-F019, F03]",2022,"9,612",50.7
116,"Canada, place of residence",Males,"Meningitis  [G00, G03]",2018,53,0.3
117,"Canada, place of residence",Males,"Meningitis  [G00, G03]",2019,45,0.2
118,"Canada, place of residence",Males,"Meningitis  [G00, G03]",2020,49,0.3
119,"Canada, place of residence",Males,"Meningitis  [G00, G03]",2021,30,0.2
120,"Canada, place of residence",Males,"Meningitis  [G00, G03]",2022,56,0.3
121,"Canada, place of residence",Males,Parkinson's disease  [G20-G21],2018,"1,868",10.8
122,"Canada, place of residence",Males,Parkinson's disease  [G20-G21],2019,"1,983",11
123,"Canada, place of residence",Males,Parkinson's disease  [G20-G21],2020,"2,130",11.4
124,"Canada, place of residence",Males,Parkinson's disease  [G20-G21],2021,"2,163",11.1
125,"Canada, place of residence",Males,Parkinson's disease  [G20-G21],2022,"2,248",11.2
126,"Canada, place of residence",Males,Alzheimer's disease  [G30],2018,"2,101",12.7
127,"Canada, place of residence",Males,Alzheimer's disease  [G30],2019,"1,998",11.6
128,"Canada, place of residence",Males,Alzheimer's disease  [G30],2020,"1,940",10.8
129,"Canada, place of residence",Males,Alzheimer's disease  [G30],2021,"1,808",9.7
130,"Canada, place of residence",Males,Alzheimer's disease  [G30],2022,"1,754",9
131,"Canada, place of residence",Males,Major cardiovascular diseases  [I00-I78],2018,"37,509",210.9
132,"Canada, place of residence",Males,Major cardiovascular diseases  [I00-I78],2019,"37,308",202.2
133,"Canada, place of residence",Males,Major cardiovascular diseases  [I00-I78],2020,"38,530",201.4
134,"Canada, place of residence",Males,Major cardiovascular diseases  [I00-I78],2021,"39,020",197.9
135,"Canada, place of residence",Males,Major cardiovascular diseases  [I00-I78],2022,"40,466",199.3
136,"Canada, place of residence",Males,Other disorders of circulatory system  [I80-I99],2018,174,0.9
137,"Canada, place of residence",Males,Other disorders of circulatory system  [I80-I99],2019,189,1
138,"Canada, place of residence",Males,Other disorders of circulatory system  [I80-I99],2020,197,1
139,"Canada, place of residence",Males,Other disorders of circulatory system  [I80-I99],2021,215,1.1
140,"Canada, place of residence",Males,Other disorders of circulatory system  [I80-I99],2022,181,0.9
141,"Canada, place of residence",Males,Influenza and pneumonia  [J09-J18],2018,"3,990",23.5
142,"Canada, place of residence",Males,Influenza and pneumonia  [J09-J18],2019,"3,292",18.5
143,"Canada, place of residence",Males,Influenza and pneumonia  [J09-J18],2020,"3,000",16.2
144,"Canada, place of residence",Males,Influenza and pneumonia  [J09-J18],2021,"2,142",11.3
145,"Canada, place of residence",Males,Influenza and pneumonia  [J09-J18],2022,"3,017",15.3
146,"Canada, place of residence",Males,Other acute lower respiratory infections  [J20-J22],2018,55,0.3
147,"Canada, place of residence",Males,Other acute lower respiratory infections  [J20-J22],2019,29,0.2
148,"Canada, place of residence",Males,Other acute lower respiratory infections  [J20-J22],2020,26,0.1
149,"Canada, place of residence",Males,Other acute lower respiratory infections  [J20-J22],2021,10,0.1
150,"Canada, place of residence",Males,Other acute lower respiratory infections  [J20-J22],2022,21,0.1
151,"Canada, place of residence",Males,Chronic lower respiratory diseases  [J40-J47],2018,"6,482",36
152,"Canada, place of residence",Males,Chronic lower respiratory diseases  [J40-J47],2019,"6,388",34
153,"Canada, place of residence",Males,Chronic lower respiratory diseases  [J40-J47],2020,"5,998",30.7
154,"Canada, place of residence",Males,Chronic lower respiratory diseases  [J40-J47],2021,"5,639",27.8
155,"Canada, place of residence",Males,Chronic lower respiratory diseases  [J40-J47],2022,"6,208",29.5
156,"Canada, place of residence",Males,"Pneumoconioses and chemical effects  [J60-J66, J68]",2018,108,0.6
157,"Canada, place of residence",Males,"Pneumoconioses and chemical effects  [J60-J66, J68]",2019,105,0.6
158,"Canada, place of residence",Males,"Pneumoconioses and chemical effects  [J60-J66, J68]",2020,111,0.6
159,"Canada, place of residence",Males,"Pneumoconioses and chemical effects  [J60-J66, J68]",2021,117,0.6
160,"Canada, place of residence",Males,"Pneumoconioses and chemical effects  [J60-J66, J68]",2022,102,0.5
161,"Canada, place of residence",Males,Pneumonitis due to solids and liquids  [J69],2018,940,5.6
162,"Canada, place of residence",Males,Pneumonitis due to solids and liquids  [J69],2019,890,5.1
163,"Canada, place of residence",Males,Pneumonitis due to solids and liquids  [J69],2020,976,5.3
164,"Canada, place of residence",Males,Pneumonitis due to solids and liquids  [J69],2021,"1,127",6
165,"Canada, place of residence",Males,Pneumonitis due to solids and liquids  [J69],2022,"1,253",6.4
166,"Canada, place of residence",Males,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2018,"2,219",12.3
167,"Canada, place of residence",Males,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2019,"2,184",11.6
168,"Canada, place of residence",Males,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2020,"2,129",11
169,"Canada, place of residence",Males,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2021,"2,251",11.2
170,"Canada, place of residence",Males,"Other diseases of respiratory system  [J00-J06, J30-J39, J67, J70-J98]",2022,"2,488",12
171,"Canada, place of residence",Males,Peptic ulcer  [K25-K28],2018,228,1.3
172,"Canada, place of residence",Males,Peptic ulcer  [K25-K28],2019,252,1.3
173,"Canada, place of residence",Males,Peptic ulcer  [K25-K28],2020,306,1.6
174,"Canada, place of residence",Males,Peptic ulcer  [K25-K28],2021,319,1.6
175,"Canada, place of residence",Males,Peptic ulcer  [K25-K28],2022,299,1.4
176,"Canada, place of residence",Males,Diseases of appendix  [K35-K38],2018,20,0.1
177,"Canada, place of residence",Males,Diseases of appendix  [K35-K38],2019,23,0.1
178,"Canada, place of residence",Males,Diseases of appendix  [K35-K38],2020,28,0.2
179,"Canada, place of residence",Males,Diseases of appendix  [K35-K38],2021,29,0.1
180,"Canada, place of residence",Males,Diseases of appendix  [K35-K38],2022,37,0.2
181,"Canada, place of residence",Males,Hernia  [K40-K46],2018,202,1.2
182,"Canada, place of residence",Males,Hernia  [K40-K46],2019,219,1.2
183,"Canada, place of residence",Males,Hernia  [K40-K46],2020,189,1
184,"Canada, place of residence",Males,Hernia  [K40-K46],2021,221,1.1
185,"Canada, place of residence",Males,Hernia  [K40-K46],2022,229,1.2
186,"Canada, place of residence",Males,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2018,"2,256",11.7
187,"Canada, place of residence",Males,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2019,"2,394",12.1
188,"Canada, place of residence",Males,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2020,"2,700",13.5
189,"Canada, place of residence",Males,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2021,"2,923",14.4
190,"Canada, place of residence",Males,"Chronic liver disease and cirrhosis  [K70, K73-K74]",2022,"2,881",13.9
191,"Canada, place of residence",Males,Cholelithiasis and other disorders of gallbladder  [K80-K82],2018,217,1.3
192,"Canada, place of residence",Males,Cholelithiasis and other disorders of gallbladder  [K80-K82],2019,227,1.3
193,"Canada, place of residence",Males,Cholelithiasis and other disorders of gallbladder  [K80-K82],2020,269,1.4
194,"Canada, place of residence",Males,Cholelithiasis and other disorders of gallbladder  [K80-K82],2021,331,1.7
195,"Canada, place of residence",Males,Cholelithiasis and other disorders of gallbladder  [K80-K82],2022,313,1.6
196,"Canada, place of residence",Males,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2018,"1,732",10.1
197,"Canada, place of residence",Males,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2019,"1,910",10.7
198,"Canada, place of residence",Males,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2020,"2,042",11
199,"Canada, place of residence",Males,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2021,"2,016",10.5
200,"Canada, place of residence",Males,"Nephritis, nephrotic syndrome and nephrosis  [N00-N07, N17-N19, N25-N27]",2022,"2,165",10.9
201,"Canada, place of residence",Males,"Infections of kidney  [N10-N12, N13.6, N15.1]",2018,62,0.4
202,"Canada, place of residence",Males,"Infections of kidney  [N10-N12, N13.6, N15.1]",2019,67,0.4
203,"Canada, place of residence",Males,"Infections of kidney  [N10-N12, N13.6, N15.1]",2020,83,0.4
204,"Canada, place of residence",Males,"Infections of kidney  [N10-N12, N13.6, N15.1]",2021,84,0.4
205,"Canada, place of residence",Males,"Infections of kidney  [N10-N12, N13.6, N15.1]",2022,90,0.5
206,"Canada, place of residence",Males,Hyperplasia of prostate  [N40],2018,150,0.9
207,"Canada, place of residence",Males,Hyperplasia of prostate  [N40],2019,123,0.7
208,"Canada, place of residence",Males,Hyperplasia of prostate  [N40],2020,188,1.1
209,"Canada, place of residence",Males,Hyperplasia of prostate  [N40],2021,172,0.9
210,"Canada, place of residence",Males,Hyperplasia of prostate  [N40],2022,203,1.1
211,"Canada, place of residence",Males,Inflammatory diseases of female pelvic organs  [N70-N76],2018,...,...
212,"Canada, place of residence",Males,Inflammatory diseases of female pelvic organs  [N70-N76],2019,...,...
213,"Canada, place of residence",Males,Inflammatory diseases of female pelvic organs  [N70-N76],2020,...,...
214,"Canada, place of residence",Males,Inflammatory diseases of female pelvic organs  [N70-N76],2021,...,...
215,"Canada, place of residence",Males,Inflammatory diseases of female pelvic organs  [N70-N76],2022,...,...
216,"Canada, place of residence",Males,"Pregnancy, childbirth and the puerperium  [O00-O99]",2018,...,...
217,"Canada, place of residence",Males,"Pregnancy, childbirth and the puerperium  [O00-O99]",2019,...,...
218,"Canada, place of residence",Males,"Pregnancy, childbirth and the puerperium  [O00-O99]",2020,...,...
219,"Canada, place of residence",Males,"Pregnancy, childbirth and the puerperium  [O00-O99]",2021,...,...
220,"Canada, place of residence",Males,"Pregnancy, childbirth and the puerperium  [O00-O99]",2022,...,...
221,"Canada, place of residence",Males,Certain conditions originating in the perinatal period  [P00-P96],2018,577,3.3
222,"Canada, place of residence",Males,Certain conditions originating in the perinatal period  [P00-P96],2019,587,3.4
223,"Canada, place of residence",Males,Certain conditions originating in the perinatal period  [P00-P96],2020,540,3.1
224,"Canada, place of residence",Males,Certain conditions originating in the perinatal period  [P00-P96],2021,557,3.3
225,"Canada, place of residence",Males,Certain conditions originating in the perinatal period  [P00-P96],2022,518,3
226,"Canada, place of residence",Males,"Congenital malformations, deformations and chromosomal abnormalities  [Q00-Q99]",2018,563,3.1
227,"Canada, place of residence",Males,"Congenital malformations, deformations and chromosomal abnormalities  [Q00-Q99]",2019,534,2.9
228,"Canada, place of residence",Males,"Congenital malformations, deformations and chromosomal abnormalities  [Q00-Q99]",2020,527,2.9
229,"Canada, place of residence",Males,"Congenital malformations, deformations and chromosomal abnormalities  [Q00-Q99]",2021,485,2.6
230,"Canada, place of residence",Males,"Congenital malformations, deformations and chromosomal abnormalities  [Q00-Q99]",2022,568,3
231,"Canada, place of residence",Males,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  [R00-R99]",2018,"2,537",14.1
232,"Canada, place of residence",Males,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  [R00-R99]",2019,"2,535",13.8
233,"Canada, place of residence",Males,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  [R00-R99]",2020,"5,076",27
234,"Canada, place of residence",Males,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  [R00-R99]",2021,"6,637",34.6
235,"Canada, place of residence",Males,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  [R00-R99]",2022,"10,639",53.9
236,"Canada, place of residence",Males,"COVID-19  [U07.1, U07.2, U10.9]",2018,..,..
237,"Canada, place of residence",Males,"COVID-19  [U07.1, U07.2, U10.9]",2019,..,..
238,"Canada, place of residence",Males,"COVID-19  [U07.1, U07.2, U10.9]",2020,"7,702",41.3
239,"Canada, place of residence",Males,"COVID-19  [U07.1, U07.2, U10.9]",2021,"8,098",40.8
240,"Canada, place of residence",Males,"COVID-19  [U07.1, U07.2, U10.9]",2022,"10,597",53.2
241,"Canada, place of residence",Males,All other diseases (residual) 26,2018,"10,329",56.9
242,"Canada, place of residence",Males,All other diseases (residual) 26,2019,"10,760",57.3
243,"Canada, place of residence",Males,All other diseases (residual) 26,2020,"11,536",59.5
244,"Canada, place of residence",Males,All other diseases (residual) 26,2021,"11,869",59.7
245,"Canada, place of residence",Males,All other diseases (residual) 26,2022,"12,709",62
246,"Canada, place of residence",Males,"Accidents (unintentional injuries)  [V01-X59, Y85-Y86]",2018,"9,526",53.4
247,"Canada, place of residence",Males,"Accidents (unintentional injuries)  [V01-X59, Y85-Y86]",2019,"9,064",49.7
248,"Canada, place of residence",Males,"Accidents (unintentional injuries)  [V01-X59, Y85-Y86]",2020,"10,156",54.7
249,"Canada, place of residence",Males,"Accidents (unintentional injuries)  [V01-X59, Y85-Y86]",2021,"11,704",62
250,"Canada, place of residence",Males,"Accidents (unintentional injuries)  [V01-X59, Y85-Y86]",2022,"10,768",55.8
251,"Canada, place of residence",Males,"Intentional self-harm (suicide)  [X60-X84, Y87.0]",2018,"3,444",18.9
252,"Canada, place of residence",Males,"Intentional self-harm (suicide)  [X60-X84, Y87.0]",2019,"3,481",18.7
253,"Canada, place of residence",Males,"Intentional self-harm (suicide)  [X60-X84, Y87.0]",2020,"3,112",16.5
254,"Canada, place of residence",Males,"Intentional self-harm (suicide)  [X60-X84, Y87.0]",2021,"2,822",14.9
255,"Canada, place of residence",Males,"Intentional self-harm (suicide)  [X60-X84, Y87.0]",2022,"2,688",13.9
256,"Canada, place of residence",Males,"Assault (homicide)  [X85-Y09, Y87.1]",2018,387,2.1
257,"Canada, place of residence",Males,"Assault (homicide)  [X85-Y09, Y87.1]",2019,410,2.2
258,"Canada, place of residence",Males,"Assault (homicide)  [X85-Y09, Y87.1]",2020,438,2.3
259,"Canada, place of residence",Males,"Assault (homicide)  [X85-Y09, Y87.1]",2021,338,1.8
260,"Canada, place of residence",Males,"Assault (homicide)  [X85-Y09, Y87.1]",2022,234,1.2
261,"Canada, place of residence",Males,"Legal intervention  [Y35, Y89.0]",2018,16,0.1
262,"Canada, place of residence",Males,"Legal intervention  [Y35, Y89.0]",2019,12,0.1
263,"Canada, place of residence",Males,"Legal intervention  [Y35, Y89.0]",2020,22,0.1
264,"Canada, place of residence",Males,"Legal intervention  [Y35, Y89.0]",2021,10,0.1
265,"Canada, place of residence",Males,"Legal intervention  [Y35, Y89.0]",2022,9,0
266,"Canada, place of residence",Males,"Events of undetermined intent  [Y10-Y34, Y87.2, Y89.9]",2018,183,1
267,"Canada, place of residence",Males,"Events of undetermined intent  [Y10-Y34, Y87.2, Y89.9]",2019,208,1.1
268,"Canada, place of residence",Males,"Events of undetermined intent  [Y10-Y34, Y87.2, Y89.9]",2020,200,1.1
269,"Canada, place of residence",Males,"Events of undetermined intent  [Y10-Y34, Y87.2, Y89.9]",2021,254,1.4
270,"Canada, place of residence",Males,"Events of undetermined intent  [Y10-Y34, Y87.2, Y89.9]",2022,176,0.9
271,"Canada, place of residence",Males,"Operations of war and their sequelae  [Y36, Y89.1]",2018,0,0
272,"Canada, place of residence",Males,"Operations of war and their sequelae  [Y36, Y89.1]",2019,0,0
273,"Canada, place of residence",Males,"Operations of war and their sequelae  [Y36, Y89.1]",2020,1,0
274,"Canada, place of residence",Males,"Operations of war and their sequelae  [Y36, Y89.1]",2021,1,0
275,"Canada, place of residence",Males,"Operations of war and their sequelae  [Y36, Y89.1]",2022,0,0
276,"Canada, place of residence",Males,"Complications of medical and surgical care  [Y40-Y84, Y88]",2018,84,0.4
277,"Canada, place of residence",Males,"Complications of medical and surgical care  [Y40-Y84, Y88]",2019,81,0.4
278,"Canada, place of residence",Males,"Complications of medical and surgical care  [Y40-Y84, Y88]",2020,90,0.5
279,"Canada, place of residence",Males,"Complications of medical and surgical care  [Y40-Y84, Y88]",2021,121,0.6
280,"Canada, place of residence",Males,"Complications of medical and surgical care  [Y40-Y84, Y88]",2022,149,0.7
281,"Canada, place of residence",Females,"Total, all causes of death  [A00-Y89]",2018,"139,933",568.6
282,"Canada, place of residence",Females,"Total, all causes of death  [A00-Y89]",2019,"138,959",550
283,"Canada, place of residence",Females,"Total, all causes of death  [A00-Y89]",2020,"148,690",575.3
284,"Canada, place of residence",Females,"Total, all causes of death  [A00-Y89]",2021,"147,914",562.7
285,"Canada, place of residence",Females,"Total, all causes of death  [A00-Y89]",2022,"160,016",592.7
286,"Canada, place of residence",Females,Salmonella infections  [A01-A02],2018,3,0
287,"Canada, place of residence",Females,Salmonella infections  [A01-A02],2019,3,0
288,"Canada, place of residence",Females,Salmonella infections  [A01-A02],2020,2,0
289,"Canada, place of residence",Females,Salmonella infections  [A01-A02],2021,4,0
290,"Canada, place of residence",Females,Salmonella infections  [A01-A02],2022,6,0
291,"Canada, place of residence",Females,"Shigellosis and amoebiasis  [A03, A06]",2018,1,0
292,"Canada, place of residence",Females,"Shigellosis and amoebiasis  [A03, A06]",2019,0,0
293,"Canada, place of residence",Females,"Shigellosis and amoebiasis  [A03, A06]",2020,0,0
294,"Canada, place of residence",Females,"Shigellosis and amoebiasis  [A03, A06]",2021,0,0
295,"Canada, place of residence",Females,"Shigellosis and amoebiasis  [A03, A06]",2022,0,0
296,"Canada, place of residence",Females,"Certain other intestinal infections  [A04, A07-A09]",2018,545,2.1
297,"Canada, place of residence",Females,"Certain other intestinal infections  [A04, A07-A09]",2019,495,1.9
298,"Canada, place of residence",Females,"Certain other intestinal infections  [A04, A07-A09]",2020,482,1.8
299,"Canada, place of residence",Females,"Certain other intestinal infections  [A04, A07-A09]",2021,405,1.5
300,"Canada, place of residence",Females,"Certain other intestinal infections  [A04, A07-A09]",2022,482,1.7
301,"Canada, place of residence",Females,Tuberculosis  [A16-A19],2018,35,0.1
302,"Canada, place of residence",Females,Tuberculosis  [A16-A19],2019,20,0.1
